,Name,Lon,Lat,Number,ur,vr
125971,G214,100.58362699998614,36.23724100027198,G214_77,0.5400889996076614,0.3155900006779504
31352,S201,100.4675005910795,36.517291442146416,S201_8,-0.7398404086079609,0.2960394417668226
45647,S207,99.44241224912605,36.36175623036581,S207_0,-0.7859577510493523,-1.680351769518552
45646,S207,99.29133672411058,36.45260307247389,S207_0,-0.9372132762716916,-1.5892849271576208
45645,S207,99.28658400854523,36.484276392741386,S207_0,-0.9423059913284676,-1.5569416074692342
109407,G109,98.10583300019287,36.23906399980382,G109_47,-0.2914350001251762,-0.2131770002183515
101433,G109,97.48568400031643,36.05337600010239,G109_10,-0.3163259995452137,0.02717500042592746
102012,G109,96.24755599990955,36.377088000311005,G109_10,-0.8767099997666605,0.21072300036615133
51240,S303,94.55341900028671,36.38904200028816,S303_2,0.7423920001906339,-0.2938079998393093
100377,G109,94.79558099986332,35.92939699977177,G109_9,1.3165659996212185,0.5558489997315519
99337,G109,94.03931900037165,35.60024999983767,G109_7,-0.051959999454410884,-0.1167309997358572
46148,S210,94.2486660002358,38.34837999983717,S210_1,-5.942907000057971,0.221803999654874
77049,S314,94.10090778736458,37.988519698725156,S314_15,-1.2664462127225562,5.116926698408406
76447,S310,94.5205862947218,37.98782054778013,S310_3,-0.9609677052953316,5.127980548063867
137363,G315,95.23845899968313,37.41660000018993,G315_8,0.8669450000117536,0.07326399983372768
94218,Unknown,95.4244207359283,37.104349249718155,Unknown_132,-6.520247264199868,0.8500522498114833
94219,Unknown,95.46309334748008,37.26257248832975,Unknown_132,-6.482553652828827,1.0084974887681284
102585,G109,95.04786300027729,36.365193000356726,G109_10,-0.79513499978043,-0.003333999964127088
102566,G109,95.05872200012028,36.35287599982758,G109_10,-0.8322679998682787,-0.011806000346659571
51240,S303,94.55341900028671,36.38904200028816,S303_2,0.7423920001906339,-0.2938079998393093
100910,G109,94.44084599984308,35.893754000047124,G109_9,-0.25931400004107275,-0.019106999788220943
90285,扎哈公路,101.41719400040284,36.36537299966426,扎哈公路_2,-0.9266909996898676,0.6051029994039325
139125,湟倒公路,101.11506700004207,36.43179799977793,湟倒公路_1,6.2232280002720035,0.04118399984173493
125844,G214,100.40589300016188,36.102038000353495,G214_77,0.4860790000458337,0.2524770004132435
45664,S207,100.12707530578079,36.071069999480926,S207_0,-0.10062369402825766,-1.9731090005799388
124996,G214,99.52259000032831,35.567745000031785,G214_75,0.07342299997145574,0.16440900047502538
137376,G315,95.25185899979307,37.41996499978495,G315_8,0.8327909997048693,0.07827099960694994
123323,G214,98.58804199983848,34.998485999729155,G214_74,1.480253000075891,1.989142999849548
118904,G214,97.99758100026298,34.558391999691075,G214_73,-0.13675799968193306,-0.1974170000945108
119951,G214,97.61645399995217,34.090003999784805,G214_73,-0.16047799995976675,-0.0958279998623155
120206,G214,97.3152400003258,33.94906599979612,G214_73,-0.3617839995319939,-0.1883239998526776
93124,扎西路,97.10407700035336,33.36931500038702,扎西路_0,-4.622823999228147,-2.8885779998747694
93134,扎西路,97.10103899965021,33.368584999997786,扎西路_0,-4.626379000390543,-2.886156999745744
94753,G109,92.06947400012508,33.57421900040657,G109_0,-0.2582660002756825,-0.25042899949875164
71907,S309,96.59963599980159,32.89646899994443,S309_3,2.5419139997312925,-2.1773810002329625
75709,S309,95.4769429996198,32.846338000298545,S309_3,-0.1279910000845632,-0.07577199947814961
111026,G214,96.34341700039431,32.02044600038266,G214_0,0.029305000625313937,0.04907100022649047
111001,G214,96.33413999976123,32.01322900031818,G214_0,0.02289600005035197,0.0390589998729638
90434,扎哈公路,101.45394900014628,36.33721899995693,扎哈公路_2,-0.9522229998915606,0.5318849998928457
